mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
1680	0.466666666667	0.0260570755745	0.0139136660483	0.00544555132579	0.100744533694	0.00695494189781	0.0146801195757	0.000172635832938	1.19179884361e-05	2.5155852905e-05	0.000295851019428	6.46892746602e-06	1.69870980632e-05	1.4638435936e-05	2.92893105632e-06	1.02471040126e-05	0.0260570755745	0.0139136660483	0.00544555132579	3.95664318593e-09	4.73192717591e-06	9.99999556394
1740	0.483333333333	0.0261476760892	0.0144533362833	0.00553803189032	0.100273795833	0.00738860084699	0.0154030447654	0.00017182917654	1.26611064114e-05	2.63946575101e-05	0.000299185350266	6.98341726043e-06	1.80902177323e-05	1.53912673199e-05	3.30764070819e-06	1.14618859251e-05	0.0261476760892	0.0144533362833	0.00553803189032	3.97019054376e-09	4.96973883178e-06	9.99999535338
1800	0.5	0.0262234824756	0.0149814746104	0.00562252636384	0.09980315574	0.00782782797152	0.0161207285497	0.000171022687676	1.3413766012e-05	2.76244804428e-05	0.000302390920993	7.51327969292e-06	1.91996993736e-05	1.61525798266e-05	3.71669869839e-06	1.27562384997e-05	0.0262234824756	0.0149814746104	0.00562252636384	3.98152709598e-09	5.2082947738e-06	9.99999514334
1860	0.516666666667	0.026286161049	0.0154979097613	0.00569956129448	0.0993326794009	0.00827219531343	0.0168325453421	0.000170216479421	1.41752338891e-05	2.88442496983e-05	0.000305470873377	8.05792671243e-06	2.0313474811e-05	1.69220458673e-05	4.15702248478e-06	1.41306467991e-05	0.026286161049	0.0154979097613	0.00569956129448	3.99090239729e-09	5.44747004754e-06	9.99999493394
1920	0.533333333333	0.0263371893493	0.016002529009	0.00576964443288	0.0988624181336	0.0087213013513	0.0175379502718	0.000169410639714	1.49448219956e-05	3.00530315858e-05	0.000308428252926	8.61677603225e-06	2.14296370957e-05	1.76993458503e-05	4.62949461329e-06	1.55854446045e-05	0.0263371893493	0.016002529009	0.00576964443288	3.9985375965e-09	5.68715379748e-06	9.99999472528
1980	0.55	0.026377877561	0.0164952704701	0.00583326237933	0.0983924131217	0.00917476875295	0.0182364706819	0.000168605239125	1.5721883735e-05	3.12500161605e-05	0.000311266019057	9.18925233674e-06	2.25464333938e-05	1.84841679355e-05	5.13496304502e-06	1.7120826131e-05	0.026377877561	0.0164952704701	0.00583326237933	4.00462868942e-09	5.92724766266e-06	9.99999451746
2040	0.566666666667	0.026409387502	0.0169761163133	0.00589087899889	0.0979226984439	0.00963224234903	0.0189276985101	0.000167800336053	1.65058104893e-05	3.24345041668e-05	0.000313987052334	9.77478829471e-06	2.36622574094e-05	1.92762078143e-05	5.67424155722e-06	1.87368572369e-05	0.026409387502	0.0169761163133	0.00589087899889	4.00934939624e-09	6.16766435604e-06	9.99999431057
2100	0.583333333333	0.0264327494547	0.0174450867698	0.00594293445953	0.0974533031064	0.0100933873079	0.0196112834593	0.000166995980203	1.72960284908e-05	3.36058953358e-05	0.000316594159763	1.03728254046e-05	2.47756415386e-05	2.0075168509e-05	6.24811020636e-06	2.04334860926e-05	0.0264327494547	0.0174450867698	0.00594293445953	4.01285370663e-09	6.40832640619e-06	9.99999410467
2160	0.6	0.0264488770838	0.0179022348534	0.00598984477157	0.0969842524173	0.0105578874921	0.0202869268741	0.000166192214942	1.80919960064e-05	3.47636778915e-05	0.000319090078795	1.09828146932e-05	2.58852489102e-05	2.08807601847e-05	6.85731584306e-06	2.2210553286e-05	0.0264488770838	0.0179022348534	0.00598984477157	4.01527813172e-09	6.64916504278e-06	9.99999389982
2220	0.616666666667	0.0264585806567	0.0183476417062	0.00603200172703	0.0965155689236	0.0110254439792	0.0209543762493	0.000165389078907	1.88932008027e-05	3.59074191407e-05	0.000321477480472	1.16042172867e-05	2.6989865438e-05	2.16926999728e-05	7.50257266991e-06	2.40678013545e-05	0.0264585806567	0.0183476417062	0.00603200172703	4.0167436966e-09	6.89011920916e-06	9.99999369608
