mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
9660	2.68333333333	0.1925547682	0.227571454338	0.0308988231196	0.0801391710263	0.0685134476953	0.0469545710737	0.000137326483471	0.000117404643971	8.04613529918e-05	0.000396109553184	0.00010707090965	7.51846484898e-05	0.000155053220651	0.000464199504739	0.000526726756221	0.1925547682	0.227571454338	0.0308988231196	2.60062824559e-06	0.0244926191479	9.98400691113
9720	2.7	0.192433510964	0.227563460824	0.0308870384155	0.0798853974174	0.0688132073805	0.0470238531639	0.000136891617014	0.000117918312167	8.05800747817e-05	0.000395166604295	0.000107619819989	7.53120719511e-05	0.000156061041839	0.00047054297805	0.000532155554699	0.192433510964	0.227563460824	0.0308870384155	2.59921834478e-06	0.0246483711133	9.98394729708
9780	2.71666666667	0.192312275681	0.227552298847	0.0308752498358	0.0796317669203	0.0691104359695	0.0470918075313	0.000136456995795	0.000118427643077	8.06965213856e-05	0.00039421848803	0.000108164368617	7.54371187493e-05	0.000157066463623	0.000476919042555	0.000537593582906	0.192312275681	0.227552298847	0.0308752498358	2.59780833759e-06	0.0248040376868	9.98388812479
9840	2.73333333333	0.192191062277	0.227538052987	0.0308634574137	0.0793782801004	0.0694051461113	0.0471584538843	0.00013602262078	0.000118932658376	8.08107265762e-05	0.000393265341386	0.0001087045714	7.55598241742e-05	0.000158069472858	0.000483327439467	0.000543040668789	0.192191062277	0.227538052987	0.0308634574137	2.59639826212e-06	0.0249596188708	9.9838293916
9900	2.75	0.192069870473	0.227520805711	0.0308516612299	0.0791249375042	0.0696973505469	0.0472238116419	0.000135588492907	0.000119433379897	8.09227236296e-05	0.000392307298197	0.000109240444564	7.56802229909e-05	0.00015907005675	0.000489767910932	0.00054849664285	0.192069870473	0.227520805711	0.0308516612299	2.59498811655e-06	0.0251151146709	9.98377109487
9960	2.76666666667	0.1919487002	0.227500637135	0.0308398612988	0.078871739667	0.0699870621023	0.0472878999344	0.000135154613093	0.000119929829619	8.10325453276e-05	0.000391344489207	0.000109772004682	7.57983494486e-05	0.000160068202844	0.000496240200058	0.000553961338108	0.1919487002	0.227500637135	0.0308398612988	2.59357786217e-06	0.0252705250892	9.98371323201
10020	2.78333333333	0.191827551411	0.227477625212	0.0308280576228	0.0786186871155	0.0702742936803	0.0473507376042	0.000134720982241	0.000120422029651	8.11402239585e-05	0.000390377042147	0.00011029926865	7.59142372866e-05	0.000161063899018	0.000502744050929	0.000559434590061	0.191827551411	0.227477625212	0.0308280576228	2.59216749938e-06	0.0254258501268	9.98365580041
10080	2.8	0.191706424044	0.227451845817	0.0308162502031	0.0783657803666	0.0705590582559	0.0474123432111	0.000134287601236	0.000120910002227	8.12457913266e-05	0.000389405081805	0.000110822253681	7.60279197407e-05	0.000162057133474	0.000509279208632	0.00056491623665	0.191706424044	0.227451845817	0.0308162502031	2.59075702836e-06	0.0255810897849	9.98359879748
10140	2.81666666667	0.191585318754	0.227423372806	0.030804439042	0.078113069349	0.0708413688712	0.0474727350374	0.000133854555636	0.000121393769698	8.13492787601e-05	0.000388428677751	0.000111340977282	7.61394295514e-05	0.000163047894736	0.000515845419267	0.000570406118222	0.191585318754	0.227423372806	0.030804439042	2.589346457e-06	0.0257362440647	9.98354222067
10200	2.83333333333	0.19146423881	0.227392278128	0.0307926241637	0.0778605722541	0.0711212386315	0.0475319310931	0.000133421876615	0.000121873354519	8.14507171211e-05	0.000387447980946	0.000111855457248	7.62487989711e-05	0.00016403617153	0.000522442429973	0.000575904077494	0.19146423881	0.227392278128	0.0307926241637	2.58793582456e-06	0.025891312969	9.98348606742
