mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
2460	0.683333333333	0.374374486849	0.32601361037	0.114798080756	0.095336226981	0.00353909851006	0.0127812659345	0.000163368158555	6.06459920684e-06	2.19019773053e-05	0.000323079419408	3.75699635057e-06	1.61803767159e-05	2.34222628584e-05	2.6062388134e-06	1.49234434095e-05	0.374374486849	0.32601361037	0.114798080756	4.50054059924e-06	0.00861411731256	9.99220693224
2520	0.7	0.375056417191	0.335810679515	0.11701215687	0.0949847804637	0.0036989245582	0.0132698526708	0.000162765919803	6.33847712294e-06	2.27392195367e-05	0.000325360819226	3.96158528511e-06	1.69161732387e-05	2.42443527501e-05	2.82706489419e-06	1.60840634905e-05	0.375056417191	0.335810679515	0.11701215687	4.50701290784e-06	0.00888414125248	9.99198433598
2580	0.716666666667	0.375661543292	0.345593203452	0.119177484308	0.0946290776617	0.00386143905007	0.013761109292	0.000162156387481	6.61696195619e-06	2.35810368827e-05	0.000327544559995	4.1711785929e-06	1.76597653731e-05	2.50722450899e-05	3.05997263192e-06	1.72977336428e-05	0.375661543292	0.345593203452	0.119177484308	4.51276351754e-06	0.00915452523499	9.99176271234
2640	0.733333333333	0.376196225088	0.355359523729	0.121294782355	0.0942694730444	0.00402660311005	0.0142547622796	0.000161540169009	6.89998708938e-06	2.44269606423e-05	0.000329632996967	4.38572426255e-06	1.84106233453e-05	2.5905691434e-05	3.30525928416e-06	1.8565022993e-05	0.376196225088	0.355359523729	0.121294782355	4.51785321852e-06	0.00942522785871	9.99154209681
2700	0.75	0.376666289137	0.365108129906	0.123364790949	0.0939062917219	0.00419437856442	0.0147505469575	0.000160917821495	7.187487108e-06	2.52765372663e-05	0.000331628424366	4.60516986199e-06	1.91682314062e-05	2.67444493312e-05	3.56321902917e-06	1.98864622461e-05	0.376666289137	0.365108129906	0.123364790949	4.52233750573e-06	0.00969621120865	9.99132252113
2760	0.766666666667	0.377077073998	0.37483764673	0.12538826675	0.0935398319757	0.00436472790127	0.0152482073037	0.000160289856074	7.47939773162e-06	2.61293280356e-05	0.000333533077481	4.82946261543e-06	1.99320877946e-05	2.75882821675e-05	3.8341429401e-06	2.12625446984e-05	0.377077073998	0.37483764673	0.12538826675	4.5262670622e-06	0.00996744055317	9.99110401371
2820	0.783333333333	0.377433471654	0.384546822459	0.127365979635	0.0931703675598	0.00453761423429	0.0157474957629	0.00015965674185	7.77565575187e-06	2.69849087394e-05	0.000335349134635	5.05854947366e-06	2.07017046684e-05	2.84369590162e-05	4.11831896389e-06	2.26937272479e-05	0.377433471654	0.384546822459	0.127365979635	4.52968819475e-06	0.0102388840684	9.9908865999
2880	0.8	0.377739965309	0.394234518237	0.129298709585	0.0927981497935	0.00471300127012	0.0162481730594	0.000159018909486	8.07619897648e-06	2.78428693546e-05	0.000337078719025	5.29237717806e-06	2.14766080065e-05	2.92902544928e-05	4.41603190427e-06	2.41804314011e-05	0.377739965309	0.394234518237	0.129298709585	4.53264322746e-06	0.0105105125876	9.99067030223
2940	0.816666666667	0.378000663929	0.403899698413	0.131187243913	0.0924234094685	0.00489085327877	0.0167500080111	0.000158376754465	8.3809661785e-06	2.87028137277e-05	0.000338723900481	5.53089231892e-06	2.22563374875e-05	3.01479486147e-05	4.7275634088e-06	2.57230442719e-05	0.378000663929	0.403899698413	0.131187243913	4.53517085689e-06	0.010782299373	9.99045514068
3000	0.833333333333	0.378219333784	0.413541421711	0.133032374799	0.0920463585864	0.00507113506666	0.0172527773443	0.000157730640074	8.68989705022e-06	2.95643592571e-05	0.00034028669711	5.77404138859e-06	2.30404463446e-05	3.10098266654e-05	5.05319195925e-06	2.73219195728e-05	0.378219333784	0.413541421711	0.133032374799	4.53730647412e-06	0.0110542199078	9.99024113289
